Genes	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\1A_RA2_1_24819.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\1B_RD3_1_24856.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\1C_RF5_1_24884.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\2A_G1_1_24820.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\2B_RD4_1_24857.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\2C_RF6_1_24885.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\3A_RA4_1_24822.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\3B_RD5_1_24858.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\3C_G1_1_24886.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\4A_RA5_1_24823.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\4B_RD6_1_24859.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\4C_RF8_1_24888.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\5A_RA6_1_24824.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\5B_RD7_1_24860.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\5C_RF9_1_24889.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\6A_RA7_1_24825.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\6B_RD8_1_24861.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\6C_RF10_1_24890.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\7A_G1_1_24826.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\7B_G1_1_24862.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\7C_RF11_1_24891.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\8A_RA9_1_24828.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\8B_RD10_1_24866.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\8C_RG1_1_24892.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\9A_RA10_1_24829.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\9B_RD11_1_24867.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\9C_RG2_1_24893.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\10A_RA11_1_24830.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\10A_RA11_1_24832.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\10B_RE1_1_24868.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\10C_RG3_1_24894.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\11A_RB1_1_24833.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\11B_RE2_1_24869.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\11C_RG4_1_24895.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\12A_RB2_1_24834.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\12B_RE3_1_24870.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\12C_RG5_1_24896.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\13A_RB3_1_24835.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\13B_RE4_1_24871.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\13C_G1_1_24897.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\14A_RB4_1_24837.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\14B_RE5_1_24872.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\14C_RG7_1_24899.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\15A_RB5_1_24838.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\15B_RE6_1_24873.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\15C_RG8_1_24900.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\16A_RB6_1_24839.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\16B_RE7_1_24874.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\16C_RG9_1_24901.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\17A_G1_1_24840.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\17B_G1_1_24875.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\17C_RG10_1_24902.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\18A_RB8_1_24842.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\18B_RE9_1_24877.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\18C_RG11_1_24903.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\19A_RB9_1_24843.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\19B_RE10_1_24878.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\19C_RH1_1_24904.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\20A_RB10_1_24844.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\20B_RE11_1_24879.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\20C_RH2_1_24905.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\22A_RB11_1_24845.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\22B_RF1_1_24880.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\22C_RH3_1_24906.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\23A_RC1_1_24846.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\23B_RF2_1_24881.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\23C_RH4_1_24907.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\24A_RC2_1_24847.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\24B_RF3_1_24882.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\24C_RH5_1_24908.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\25A_RC3_1_24848.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\25B_RF4_1_24883.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\25C_G1_1_24909.d
ISOC1	24398.8	28708.8	32827.1	27622	32312.9	29449.8	25636	32370.5	34571.3	5260.29	30287.1	36322.6	21171	35184	41090.9	23161.1	41605.4	26775.8	18908.4	40243.3	32253.7	13219.5	34294.2	34233.8	24248.8	32314.9	30833		17773.6	33609.6	34281.3	15260.6	40482.4	27273.8	1266.87	29701.1	20166.2		26045.2	37746.5	28516.2	36512.6	28592.1	18971.7	39276.5	34333.9	21985	31794.4	24957.7	22769.3	27315.4	17200.3	18583.3	39172.2	27793.2		36107	19594.5	8057.33	38514.3	13863.5	2963.66	28500	19661.6	16578.3	30181	21416.3	20529.9	36377	35091.6	20681	28546.7	25247.5
ISOC2	3485.34	3738.56	6692.85	3776.15	4620.5	9881.28	4411.89	2552.48	9307.81	6036.03	2987.95	4628.17	5338.58	2400.58	9417.16	13903.9	5489.49	5269.28	3979.67	5159.63	6478.63	4899.6	2725.53	8058.93	3721.49	4537.72	7797.28		4032.24	4990.77	6306.63	3384.08	4740.81	7902.03	2361.15	4833.26	6075.42		4152.7	9796.01	3829.24	4549.17	6409.47	5482.16	6253.65	6413.14	6221.82	3555.98	6299.34	4210.76	6688.83	7053.15	4053.52	4828.48	5634.35	8876.79	6008.55	5139.4		6347.01	12149.8	7241.58	4694.64	2728.48	3740.7	4281.33	4286.51	6031.4	5467.4	4467.53	5997.82	6090.51	92384.8
IST1				1665.59								1182.27	1018.67	858.489	1568.6								1087.46				1658.73							543.395		923.899			1784.93	1067.57					2299.94			1376.21						1878.45	1923.36		1743.75			2902.8						1272.38	1025.4			1360.8			
ISYNA1	4842.86	6578.17	4035.22	8710.32	6481.51	2729.98	11499.6	7742.25	4929.3	10051.5	7235.3	10403	7492.25	6536.54	6548.89	4873.86	8111.65	4314.83	6398.44	9512.74	5695.09	7485.97	10724.9	5488.81	4276.41	6085.89	4997.74			7512.42	4906.08	12327.6	9644.57	4532.67		8604.71	3965.73	20447.2	8238.7	4239.39	2354.03	7242.3	4550.06	3719.25	5964.74	6671.2	8124.91	7528.2	3346.6	6201.22	8753.25	6317.63	12666.7	10483.1	4328.82		6934.43	6660.35		6584.15	8402.98		4843.66	7283.21	15932.6	6176.1	6492.78	13001	8560.11	9947.75	7553.65	4763.02	
ITGA1				1736.75	2460.75	2271.64		558.021			3057.08			476.801			2195.5		598.439		2178.01					2537.24				2864.96			2423.19	2498.86			1713.75		2404.3			2571.58	3590.3	2270.65	1971.95			2469.25	1871.07						1445.81			523.216		1446.64			1644.64		2137.1	1451.21	1640.8					1361.93	
ITGA2					5337.39	281.132					5868.98				1088.35		6326.42				424.542					6965.43							2939.46																		598.957			698.525												329.635							
ITGA2B	15429.2			6840.02			8307.11	6595.04		42839.8			10611.1			10868.1			9399.85			17262			13430.2		1413.74		21825.8			42356.8			124798			220873			20181.9			18344.3			1487.89			4444.53			21135.9			24037.8			34458.9			44770.8			21224.3			18409.4	2556.1		9903.3		
ITGA5		2926.98	2010.77		2410.42	1097.51		2752.36	2458.18		1813.5	2670.83		2975.48	1972.54		2193.15		4444.04	4671.54	2775.61		3905.16	3466.24		3278.57	1304.54		2546.87	4129.83	2172.18		1145.47	1765.91	6275.19	3970.52	2614.25		2868.63	1567.35	2179.93	3488.01	3358.75	2133.89	2976.55	3453.1	2665.97	4036.68	2782.77		3095.16	3167.93		2278.41	1702.42		3740.89	4001.93		3032.75			4389.31	3573.61	3819.13	2992.2	2603.86		2821.23	2111.34		1949.39	
ITGA6	4616.63	3069.16		3408.75	3644.38	2444.11	2642.92	2305.75	2360.59	6308.43	2798.04	2030.48	4649.56	3615.45		2780.25	2040.67	1724.11	2781.52	2334.62	1896.97	5371.03	1337.65	2242.05	3880.48	2757.12	1088.86		7103.22	2233.76	1596	10125.2	1756.77	2075.24	23203.6	2595.24	1902.17	33093	1491.88	1638.19	4587.87	1962.55	3163.46	5695.74	1713.54	1753.09	3233.16		1551.2	1823.55	2261.61	2901.74	4991.59	2123.89	1326.32		2030.89	2385.86	7298.59	950.243	3686.16	12564	3171.25	2867.32	4668.41	1408.02	2433.61	3836.56		2609.16	3229.43	1717.51	
ITGA7	23116.7	8646.11	10640.5	9457.23	9298.42	13727.6	8319.39	8907	16712.4		13722.7	9030.02		10163.8	7889.06	10189.3	10851.6	8411.77	6200.16	12948.9	13417	18752.8	10877.9	10560.6	6652.82	14285.2	8836.94		28208.8	16100.3	11185.7	4056.07	10810.3	9237.75		7253.39	14557.7	7314.63	7234.52	13068.7	14362.6	8240.36	10332.2	7412.49	7496.23	10086.2	2465.83	9944.81	14052.2	14209.3	10141.8	7612.22	10075.9	8609.75	9669.83		9417.44	7304.81	20711.9	7536.91	7180.64		14434.8	7103.52	25661.1	10298.8	8717.74		9005.43	7246.47	13841.2	12201.9	
ITGAM							4444.98			6814.39																			5206.22			4320.72			16360.6			16774.9			3728.35			4410.78																		9139.72			4208.05			7527.62					
ITGB1	7910.02	7167.17	8404.55	8853.74	10190.4	10733	8557.02	7706.74	9666.82	11836.6	10385.3	8250.65	7234.63	9821.11	7945.73	6379.48	10646.5	8226.53	7578.77	12562.3	13108.6	8991.03	8115.37	12403.2	9229.38	9949.64	9072.62		11681.7	10583.8	11231.8	14675.7	8993.27	12587.7	23028.4	7608.16	15573.5	32317.6	8711.97	8907.04	11640.5	9433.6	12827.5	15380.5	6975.78	11149.4	5015.52	8079.42	11482.3	7187.52	8757.24	12674.3	8253.56	7449.54	9454.01	3606.41	8721.1	14085	13145	7101.56	8086.54	23686.7	11601.1	11315.7	8747.49	7608.28	11808.2	6661.24	7225.55	9295.19	8934.2	12937.6	55908.7
ITGB2	1054.51			2001.42	743.76		1512.19			2460.63						625.243			1182.26			1057.31			733.799		1197.68		2132.46			1563.02		804.478	10806.1		714.365	11384			4782.48	776.917	693.242										1410.92	597.361					1996.67	814.119		4966.48			1928.89								
ITGB3	9856.53			7534.42			7125.65			18728.2			5945.45	783.101		4061.14			5331.75	11755		7393.93			8331.46				12356.4			23643.1	1207.93	1126.73	59314.4			108142			12647.7	5211.53		13077.2			2817.92	9390.3	1686.38	2991.22	1541.5	5894.22	11943.3			9446.29			20180.4	4304.54		21302.3			14267.3			13691	4998.48		6198.21		
ITGB6	10664.8	11189.2	4254.15				11558.1				13367.8		11236.8				11370.6	5816.3		12519.7	7485.19						5775.73		14961.2		6634.44			4683.68		14121.1	10268.1												9020.25		14604.1	17424.7	11086.3				11662.1			6131.18	10120.5	26276.1		14139.4	15656.5		7476.57			8360.86	13008.3		
ITIH1	25185.4	11304.5	5247.65	21515.9	23278.5	8343.02	17809.4	12738.5	5857.11	22620	9805.79	23449	22958.5	11566.4	11517.2	18915.8	14729.6	14041.6	22445.3	10536.3	10212.2	23628	9659.96	22515.4	20639.9	11709.4	11839.9		27401.2	12027.7	9602.75	28568.3	9039.72	24801.5	23094.4	14084.5	8284.76	74656.3	34446.9	11192.2	25776.9	18476.6	27597.3	18808.7	14063.6	9375.31	21353.5	23242.2	8141.71	17323.5	17736.2	17856.2	18734.7	16540.7	14232.7	35245.2	14412	18885	36242.9	9367.56	19882.5	29516.1	15879.7	25135.7	35426.1	8405.93	16521	26205.3	10691.2	21638.6	27859.2	5832.41	212148
ITIH2	19048.1	11248.5	12366.8	23989.9	24175	15746	17809	13912.7	13355.3	20397.6	19462.5	19765.1	18995.2	8655.1	10280.9	14665.2	22963.8	15732.1	19341.3	20176.2	12464.3	16503.2	9319.02	13635.8	20369.9	9724.36	10878.6		36283.1	16185.2	15060.9	24463.1	12635.5	18514	23969.1	10045.1	10713.2	81268	22483.9	11570.1	28419.7	17260.9	19578.3	17036.5	11203.6	11229.9	13983.8	24767.7	8393.18	15480.2	10167.8	29107.8	20156.9	17154.8	16257.9	19070.6	14212.6	20372.1	30812.6	8988.99	9103.97	26957.4	24365	20042.4	25810.7	14372.3	14208.9	29233.9	15577.2	18824.1	25140	14724.7	371398
ITIH3	3537.23		3078.67	2560.61	3609.02	3234.1	2694.62	2524.5	2905.64	2605.5	2700.91	5130.6	3273.41			1600.97	3425.78	5293.46	2969.73	14045.9	2823.08	2965.73	1309.54	6033.7	3693.51	1085.44	2539.59		5430.75	1623.48	7022.24	5154.67	1455.75	3967.14	6650.59	2007.7	4250.63	8206.71	3325.3	2739.37	3660.65	2637.18	2683.5	2534.86		2914.32	2281.73	6515.61	2728.13			6387.83	3663.93	1748.04	4468.39	3131.47		4277.3	4874.7	1586.04	3574.26	5285.46	2018.76	4809.53	3895.03	1099.41	1922.91	1643.87	3939.22	5267.02	5041.69	1571.7	63951.1
ITIH4	41607.2	23647.6	24521.8	51253.6	58186.8	31418.6	50946.7	34539.2	26620.2	74770.7	34769.5	40844.9	45438.7	15644.5	22533.4	38003.6	42333.8	23175.4	55969.1	26275.8	26518.1	57833.5	21885.2	30325.5	46233	19170.4	23938.7		107805	26365.2	16556.6	95718.6	27373.9	41863.2	148832	33049.1	18500.4	262733	49607.4	22193.1	72290.7	37972.4	53213.9	43091.4	29461.2	24231.7	33708.3	48358.4	18064.2	39977.6	28095.7	35957.3	59476	34025.3	32786	97327.1	26094.7	32506.2	119204	23831.9	28331.2	99499.2	44418.2	33250.3	86034.1	29987.5	30924.9	75253.8	32272.1	41350.8	75671.5	23295.9	99830.7
ITIH5	1042.08	1928.03	2348.19	5282.71	3029.56	3162.3	1495.3	854.435	2521.95		5710.51	2427.83	2306.27	857.31	1908.27		3262.55	1380.54		1931.86	4558.35	2162.81	1650.73	1220.26		3647.83	2590.8		1933.16	2992.53	1947.53		3259.4	3067.57			3256.55	3559.81	2738.05	2220.46		1323.3	3271.25	1747.26	2077.66	1527.18	1739.58	1584.14	2178.14	971.862	3055.82	4166.89		3498.1	3281.28		1068.75	1818.48	906.208	2285.52			2317.7	1075.08		3643.67	4323.53		2189.08	741.781		5261.45	
ITPKB	416.891	466.278		786.972		939.412	1105.72	528.764		1142.45	708.118	518.954	623.665	297.964	428.061				958.717		927.781	733.507	614.353	180.251	439.638		680.602				513.942			832.419	1030.86	280.182	317.031			829.57			663.305		573.511	904.577	658.313		797.82	678.703				539.642	344.719		342.376	611.385		836.932	694.622			169.789	1108.87	823.646	760.685		359.019			878.195	
ITSN1					466.259			739.665								2352.6									1980.59					652.228						1875.15				1254.33			523.777						1131.59	4214.92			2282.15				1642.12								3293.78						4598.56	463.949	
IVD	44600.9	36242.2	29483.9	35033.6	25107.6	30819.9	44448.5	39535.1	35262.3	18873.5	17880.3	43693.6	29890.8	21282.4	33969.4	34040.9	29296.1	23926.2	33700.7	29031.3	26449.2	39530.2	37951.7	46644.8	39617.9	37098.5	27023.5		23743.3	41624.2	39980.1	32787.2	22724.5	28085.6		38534.1	33852.4	55518.6	34209.2	40763.8	18898.4	41287.8	38370.7	35781.8	30271.9	38192	36225.3	29693.6	36017.4	41503	31244.9	17323.3	42887.3	35282.3	23723.2	28416.1	47082.4	28287.8	20508.6	26655.2	22286.4	15975.9	31109.6	28943.9	33517.4	26685.3	20140.5	34059.8	41219.9	37844.3	35173.9	27084.9	26393.9
JCHAIN	8190.5	4574.98	3946.95	24387.1	10887.4	10290	14134.9	5327.09	5778	19249.9	5416.25	3817.34	13170.4	2406.07	3098.86	11603.2	12153.4	4923.09	8089.8	4153.68	3605.14	23105.1	2618.27	4654.97	10620.6	3423.93	3175.26		25969.3	3886.71	3946.37	25149.6	6330.7	11658	25253.8	2601.96	2959.89	20830.8	8706.97	4354.08	16743.8	9042.93	11902.1	18591	4908.18	7124.58	5468.16	6040.3	2724.08	14365.6	2922.91	6207.34	8971.25	2375.13	2259.72	28094.8	3037.64	4738	27518.4	2235.64	3045.3	11067.1	6659.65	5035.82	12445.7	6088.33	6446.4	15210.4	4260.67	4526.95	11955.6	4762.01	14790.3
JMJD7			1613.49									1199.29					752.255			1112.5	1979.96		406.039			666.98	1576.01			1438.8	1744.66			1200.09			1161.79			1283.15			556.546			1230.37			1215.43			787.697		570.846	928.426		1200.56			999.959						1024.88	749.939			922.7		1034.79	
JPH2			893.371			1094.29		781.937	2305.16		1270.01						827.599				1557.27						755.218			1872.33	1196.54		949.795	966.459			2128.48			1317.32		1180.88				1631.58			1428.22									1117.17		986.099							1015.32		2158.73			870.479	
JPT2	2348.6	2079.04	3888.47	4474.61	6062.98	4719.44	4076.25	2173.71	2005.59	3210.65	12329.2	2472.96	5745.41	2231.18	2878.21		5254.48	3119.15	6240.77	2544.97	1995.1	6263.52	2101.17	1913.09	2943.47	8126.19	2843.17			2708.11	1920.33	1967.46	10039.5	1698.55	5219.52	2212.97	2432.17	3347.13	6165.46	3390.92	3981.36	2814.88	3177.29	5061.88	3755.57	1769.56	3385.97	3406.08	2001.61	2714.28	4097.2	4705.78	1545.56	3594.02	2881.78		2609.97	2507.95	2655.6	1660.44	4171.24		2809.94	2442.13		2998.78	1381.73	4795.42	2209.73	2094.85	584.965	4130.39	
JUP	433.51	520.789			425.8			385.001			575.905	472.31		267.593	197.834	1349.29	782.449			584.111	237.678		236.992	392.438	772.802	848.94	631.805			2025.82			477.38	177.752		366.474	390.66	1305.69	700.974	462.878	659.943	364.827	384.25			421.868		514.456		560.924	580.32			509.651	444.877		421.856	3294.64		309.974				958.347	595.524	322.812	491.478	993.46		191.433		447.417	
KANK2			675.93		488.022	2523.56			516.766		2134.92							347.101			1962.3		663.236							1000.46			936.891	1796.52			595.946		872.057					934.251					547.817	1116.79		1447.96		935.297	1436.61			754.982		1237.19		2341.95	809.035			3156.86	2120.01		763.828			1278.34	
KANSL1		2722.72	1210.27			709.023		1080.96			701.182	1854.51		920.517			1032.39	1425.22					2267.48	1042.78	588.568	1375.36	1490.53			1847.85	301.648		700.474	1084.22		2587.54			1776.72	964.881		1464.81	992.323	1459.88	2592.9	663.815				1171.32	2628.77	1329.97		572.005	935.12		3318.16	2291.9			2323.93		1899.11	2615.98		2830.38	1522.48		1234.32	758.807		757.577	
KARS1	5598.75	2343.93	2863.81	2540.19	2957.28	2286.11	2266.64	2493.39	3346.47	6564.05	3887.39	4584.35	3925.84	2301.76	2510.14	6929.33	2600.34	2758.36	5445	2758.5	3506.14	3666	3582.52	2680.27	2781.11	1849.67	2249.58		2669.32	4027.55	2288.06	10641.1	2802.37	2645.19		3486.22	2894.04	10414.8	2734.36	3578.07	2127.54	3795.36	2847.77	1459.9	2505.31	2212.97	1608.94	3662.95	2810.62	4227.9	1669.74	2988.12	4572.01	2802.85	2302.66		5068.21	2772.13	5426.73	3686.37	1181.53		3561.1	2879.75	5495.63	1680.6	1295.68	6262.74	3920.28	3087.3	6107.03	1798.87	
KATNAL2		18087.6					45614.4	19335.3		25171.8		31649.3	32841.3	15361.5		35136.4						35970.3							45596.3			46412.9			81013.8									27495.1	31458			20208.4		30347.8									53527.4						47875.4						45657.4		
KCNJ3									686.16		1074.61	687.071									835.102			716.465			658.423							550.745						814.412									757.509					665.756						707.937			1096.32				394.93					994.161	
KCNMA1				10927.6						30849.1			14680.4			18906.3			13344.9										14103.3						42092.9															14608.7			17533						23718.2						16702.1			17543.3			15849.5		
KCTD12		3076.2	1215.61	2135.72	7001.71	1588.26	1287.28	4004.35	1066.98		1226.65	1211.92	2068.56	4911.43	2262.97	1164.23	4677.89	1259.21	2924.78	2371.27	1928.69	2362.24	2214.18	1768.31	1896.47	4041.07	2127.41			1989.07	1820.05		3297.29	2780.57	8365.75	3410.54	2033.89	3742.95	4714.76	3171.57	3276	4163.91	5205.53		4677.33	3271.48	4078.6	5652.07	2751.83	1604.96	3424.1	2863.99		5628.22	2670.4		3229.11	4377.41		4883.98	4224.02	4693.35	2934.78	4169.39	2522.1	2871.98	4089.78		1452.32	1975.14	2090.36	2160.01	
KDM1B		2684.06																					4690.77													8234.99														6801.33															5248.71								
KERA		2699.52	1918.36		3802.66	2355.59		2056.24	1734.08		3723.72	2451.19		8421.04	882.947		2024.24			3619.17		1053.05	5920.98	2612.46		2736.17	1516.72			3665.06				2389.78		2642.54	2299.94		4450.12	1610.25		3884.05	1847.65		3471.82	2833.28		2681			1092.8	1759.4		1706.1			3255.16	3420.81		3041.07	3775.04		2874.61	4016.54		3561.34	3319.27		4149.41	3172.49	2931.87	4244.15	
KHDRBS1	1051.36	1515.56	425.791					2157.45				1055.19		893.254				254.007		1406.2			1054.65	299.566	1048.44					1766.79						1016.21	295.901	3925.17				1691.87						1807.75		678.191		143.506	976.807				1051		1837.65				1217.98	449.572					883.152	783.317	463.538		
KHK				1229	1614.39						734.188						1261.98	1443.45			402.453					1922.08	1842.31			1511.07			1640.44	1684		1538.76			1459.71	1685.8							1659.31		693.013					1693.96	604.499											885.673			1086.64			877.466	
KHSRP	3253.87	4254.36	4624.81	5404.36	6394.64	3950.56	4186.97	4651.69	3270.55	6501.9	3265.8	3973.71	5120.13	2734	2030.17	4351.89	2125.05	3962.11	3892.05	4138.29	3659.45	4319.38	2681.31	5347.61	5239.41	4645.15	3613.45		5110.11	2938.74	3081.68	4144.92	1546.74	5560.88	3502.8	4106.34	3191.4	8730.71	3912.41	4361.79	5871.56	4133.55	4603.86	5194.21	2009.51	4312.42	4039.43	4415.31	3365.72	3223.38	3123.54	3395.13	4361.97	3611.22	4374.98		3547.88	4646.62	6151.81	2084.48	6034.8		3521.36	5150.54	4432.71	3075.8	5582.11	6316.47	2814.99	4550.91	4558.37	3327.5	
KIF13B			917.457	730.171	810.6	536.948		450.341	633.321		536.467	529.704		533.813	1829.39		474.538	820.712	338.754	322.694	557.071	473.529	868.001	260.669		1761.58	1644.46			364.161			828.278				821.584		665.619	469.211		508.779			1026.39	612.933	372.819	655.894	734.435	424.51	738.812	1128.81		1169.68	902.859		635.11	980.392		954.914	387.765		198.754	1220.24		817.171	1237.28		693.528	782.498		471.052	
KIF1C	651.59		1710.97			809.953		758.806	1282.39		1169.04	457.239			1280.42		1883.45	1158.44		886.831	1171.66	716.504	922.564	1170.63			771.301			1194.35	1255.21		535.268	1247.17		1726.79	1021.46		955.955	892.18		577.498			1190.84	942.119			1077.45		1630.9	947.96	1050.47	1733.18	904.291		961.786	778.241		1128.41			1038.47		962.857	979.634	460.897		792.737	891.55		666.365	
KIF21A								1668.27						1609.93									1545.19											728.145		1754.29			1066.73						953.436	1368.52								1087.79							1585.52			2926.85									
KIF5B	8700.68	10593.4	8187.2	11692.9	10157	7121.8	10946.4	10468.2	8337.88	6438.48	9022.8	10992.2	7555.92	12547	11203.9	7874.81	10633.4	6955.99	11201.1	9170.87	6833.44	11390.1	12420.4	7633.63	10102.6	10052.4	8944.69		5128.92	8709.41	7473.43	10453.6	8210.55	6707.86	7974.18	10094.1	6382.7	14445	11146.8	9517.38	11335	10277	6309.68	7316.49	12002.4	7622.64	10237.3	10412.6	8503.94	7780.77	11824	8030.61	7275.67	13594.4	11289.6		10489.8	8787.5	6046.23	10975	11999.2	6465.14	10057	9109.33	12319.9	12157.7	12090.1	5628.54	9990.64	12322.7	10627.4	11859	3032.38
KIF5C	1269.66	3757.56		2784.58		816.518	1474.16	3658.11				4514.14		1998.02	3490.16	961.565		3742.08	2044.84	2965.8		1870.55	4738.82	2702.8	2356.68	1190.85	3647.32			3472.37	1430.45		849.823	1744.14		2903.76	3314.37		3206.1		2272.1	3834.96	1498.23	2500.07	5021.08	2954.64	2249.33	3699.05	3191.39	2591.61	3987.09	3559.52	1242.99	4294.47	4893.3		4071.14		1584.93	4641.64	2610.16		4399.97	5036.76	2495.91		3241.63	2383.96	5691.55	4338.27			
KLC1	1525.62	1794.37	1024.78	1607.65	1881.93		2662.25	1429.6	985.684		1216.85	1086.82		1710.12	734.451		1400.46	829.805	800.123	1391.59	573.266	1803.78	1588.01	1089.86	1811.74	2108.22	1118.36			1324.34	651.258		1398.87	580.743		1502.28	627.803	3008.3	1673.71	1123.69	1910.77	1493.69	1106.82		1774.63	678.961	1010.09	2192.83	1101.66	2216.46	1228.46	1622.59		1262.08	1052.41		1818.42	1532.86		1443.03	1844		1533.34	2038.43	1130.33	883.089	689.833		1295	1624.39		695.223	
KLC4	1137.38	1355.08	1846.06	1961.28	1101.67		2879.53	1708.02	1151.11		236.798	2039.81		2233.15	1166.7		471.341	1383.82	1211.93	1419.12	954.58		2357.72	877.53	1387.71	1043.31	1433.3			1201.88	1541.23		1833.59	1107.46		1786.54	1003.37	2633.66	2107.59	966.868	2931.58	1961.75	1255.64		1247.5	1440.91	2545.64	1858.63	605.464	1407.52	1907.77	2442.23		1168.1	2086.48		1553.82	2232.81		1791.02	2364.88		1585.02	2293.71	1950.24	1089.25	1041.75		2131.16	2140		884.718	
